Cod. Empresa,Empresa,Referencia Basica,Produto,Cod. Produto,Ds. Cor,Ds. Tam,Nome Fornecedor,Nome Fantasia Fornecedor,Marca,Coleção,Categoria,Subcategoria,Grupo,Pecas Venda Liq,Valor Venda Liq,Saldo Físico Loja,Saldo Deposito Fechado,Compra Pendente
240,240 - UK - RECIFE 3 - 240,2 01 03 008261,BOLSA COURO 61063 V25,50194,PRETO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,3,"688,5",0,0,0
226,226 - UK - RECIFE - 226,2 01 03 008261,BOLSA COURO 61063 V25,50193,OFF WHITE,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,2,459,0,0,0
226,226 - UK - RECIFE - 226,2 01 03 008261,BOLSA COURO 61063 V25,50194,PRETO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,1,"229,5",1,0,0
238,238 - UK - RECIFE 2 - 238,2 01 03 008261,BOLSA COURO 61063 V25,50194,PRETO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,1,"229,5",0,0,0
238,238 - UK - RECIFE 2 - 238,2 01 03 008261,BOLSA COURO 61063 V25,50192,CARAMELO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,3,804,0,0,0
242,242 - UK - RECIFE 4 - 242,2 01 03 008261,BOLSA COURO 61063 V25,50195,VERMELHO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,1,"229,5",0,0,0
242,242 - UK - RECIFE 4 - 242,2 01 03 008261,BOLSA COURO 61063 V25,50192,CARAMELO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,2,"642,6",0,0,0
238,238 - UK - RECIFE 2 - 238,2 01 03 008261,BOLSA COURO 61063 V25,50195,VERMELHO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,2,"558,5",0,0,0
226,226 - UK - RECIFE - 226,2 01 03 008261,BOLSA COURO 61063 V25,50195,VERMELHO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,2,459,1,0,0
226,226 - UK - RECIFE - 226,2 01 03 008261,BOLSA COURO 61063 V25,50192,CARAMELO,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,1,"229,5",0,0,0
240,240 - UK - RECIFE 3 - 240,2 01 03 008261,BOLSA COURO 61063 V25,50193,OFF WHITE,U,MARJU INDUSTRIA E COMERCIO DE COURO EIRELI,MARJU,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,BOLSAS COURO,3,"1147,5",0,0,0
