Loja,Ref. Basica,Descriçao,Saldo em Estoque,Estoque $ Custo,Estoque $ Venda,Tab Preco Custo,PV Tab Venda,PV Tab Promo,PV Tab P Original,Razão Social Fornecedor,Nome Fantasia Fornecedor,Marca,Coleção,Categoria,SubCategoria,Origem,Material,Grupo,Artigo,Modelo,Dt. Saldo,Cod. Saldo
242 - UK - RECIFE 4 - 242,2 02 17 007811,MOCASSIM COURO LOCAL I23,1,"146,9",249,"146,9",499,249,499,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,INVERNO 2023,CALCADOS,SAPATO,NACIONAL,COURO,MASCULINO,MOCASSIM,LOCAL COURO I23,8/10/2024,1
226 - UK - RECIFE - 226,2 02 17 007811,MOCASSIM COURO LOCAL I23,1,"146,9",249,"146,9",499,249,499,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,INVERNO 2023,CALCADOS,SAPATO,NACIONAL,COURO,MASCULINO,MOCASSIM,LOCAL COURO I23,11/28/2025,1
226 - UK - RECIFE - 226,2 02 06 007304,TENIS COURO SLIM,1,122,199,122,410,199,410,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,INVERNO 2022,CALCADOS,BOTA,NACIONAL,COURO,MASCULINO,BOTA,SLIMI22,9/10/2023,1
226 - UK - RECIFE - 226,2 02 06 007304,TENIS COURO SLIM,1,122,199,122,410,199,410,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,INVERNO 2022,CALCADOS,BOTA,NACIONAL,COURO,MASCULINO,BOTA,SLIMI22,3/1/2022,1
226 - UK - RECIFE - 226,2 02 17 007083,MOCASSIM CAMURCA LOCAL V22,1,112,199,112,360,199,360,ART - MILLE ARTEFATOS DE COURO,ART-MILLE,UNCLE K,VERAO 2022,CALCADOS,MOCASSIM,NACIONAL,CAMURCA,MASCULINO,MOCASSIM,LOCAL V22,10/17/2023,1
242 - UK - RECIFE 4 - 242,2 04 02 008661,COLAR METAL CV26H,3,105,327,35,109,109,109,VIRAGINI BIJOUTERIA LTDA,VIRAGINI,UNCLE K,VERAO 2026,ACESSORIOS,BIJUTERIA,NACIONAL,METAL,BIJUTERIA,COLAR,CV26HV26,12/26/2025,1
238 - UK - RECIFE 2 - 238,2 01 03 008411,BOLSA COURO 61258 V25,1,170,441,170,589,441,589,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,VERAO 2025,BOLSAS,BOLSA COURO,NACIONAL,COURO,BOLSAS COURO,BOLSA TRANSPASSE,61258V25,11/21/2024,1
242 - UK - RECIFE 4 - 242,2 04 13 008985,NECESSAIRE SINTETICO 70615 I26,4,184,556,46,139,139,139,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,NECESSAIRES,NACIONAL,SINTETICO,NECESSAIRES,NECESSAIRE,70615I26,3/16/2026,1
226 - UK - RECIFE - 226,2 04 07 008977,CARTEIRA COURO 70426 I26,6,540,1614,90,269,269,269,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,CARTEIRAS,CARTEIRA COURO,70426I26,3/4/2026,1
240 - UK - RECIFE 3 - 240,2 04 07 008977,CARTEIRA COURO 70426 I26,6,540,1614,90,269,269,269,BMCG INDUSTRIA E COMERCIO DE COURO LTDA EPP,BMCG,UNCLE K,INVERNO 2026,ACESSORIOS,CARTEIRA COURO,NACIONAL,COURO,CARTEIRAS,CARTEIRA COURO,70426I26,3/4/2026,1
