Produto,Cod. Produto,Ds. Cor,Ds. Tam,226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,242 - UK - RECIFE 4 - 242
BOLSA COURO 61107 I26,54971,VINHO,U,4.0,2.0,0.0,1.0
BOLSA COURO 61107 V26,53025,BEGE,U,2.0,0.0,1.0,3.0
BOLSA COURO 61300 I26,54960,MILITAR,U,4.0,2.0,3.0,1.0
BOLSA COURO 61379 V26,52921,BEGE,U,4.0,0.0,1.0,1.0
BOLSA COURO 61379 V26,52922,MARROM,U,4.0,0.0,1.0,1.0
BOLSA COURO 61386 V26,52821,BEGE,U,2.0,2.0,3.0,0.0
BOLSA COURO 61401 V26,53033,PRETO,U,3.0,0.0,1.0,0.0
BOLSA COURO 61430 I26,54961,PRETO,U,3.0,2.0,1.0,1.0
BOLSA COURO 61430 I26,54962,CARAMELO,U,3.0,2.0,1.0,1.0
BOLSA KING RUBBER 61233 V26,53975,PRETO,U,3.0,2.0,1.0,1.0
BOLSA NY BNT 61040 V26,53938,PRETO,U,0.0,3.0,0.0,1.0
BOLSA NY SATIN 61284 I25,51854,PRETO,U,3.0,3.0,1.0,3.0
BOLSA NY SATIN 61286 I26,54973,VINHO,U,3.0,1.0,1.0,2.0
BOLSA NY SATIN 61286 I26,54975,AREIA,U,3.0,1.0,2.0,0.0
BOLSA NY SATIN 61286 I26,54976,PRETO,U,3.0,1.0,1.0,1.0
BOLSA NY SATIN 61370 V26,53037,PRETO,U,0.0,3.0,3.0,2.0
BOLSA NY SATIN 61371 V26,53041,OFF WHITE,U,1.0,0.0,0.0,3.0
BOLSA NY SOFT 61352 V26,53997,PRETO,U,4.0,0.0,0.0,1.0
BOLSA NY SOFT 61407 V26,54144,PRETO,U,4.0,1.0,0.0,2.0
BOLSA NY SOFT 61407 V26,54145,CAQUI,U,3.0,1.0,0.0,0.0
BOLSA NYLON 61282 V26,53007,PRETO,U,2.0,3.0,0.0,1.0
CARTEIRA COURO 70499 V26,53054,VERMELHO,U,0.0,3.0,1.0,0.0
CARTEIRA SINTETICO 70533 I25,52731,PRETO,U,0.0,3.0,0.0,0.0
CARTEIRA SINTETICO 70533 I25,52732,VERDE,U,2.0,3.0,0.0,0.0
COLAR CORDA/CRISTAL CV26A,52810,AZUL/VERDE,U,1.0,3.0,1.0,1.0
COLAR CORDA/CRISTAL CV26A,52811,PTO/BRANCO,U,4.0,5.0,0.0,1.0
COLAR METAL CI25L,52681,PRATA VELHA,U,0.0,0.0,3.0,5.0
COLAR METAL CV26H,52904,VERDE,U,3.0,1.0,0.0,2.0
COLAR METAL CV26H,52905,AZUL,U,0.0,0.0,0.0,3.0
COLAR RESINA CI26A,54894,VERDE,U,3.0,2.0,1.0,2.0
COLAR RESINA CV26B,52813,LARANJA,U,3.0,2.0,3.0,0.0
DOLEIRA NY SATIN 70578 I26,54882,PRETO,U,5.0,2.0,3.0,1.0
GARRAFA ALUMINIO ACQUA V25,50051,PRETO,U,2.0,3.0,0.0,0.0
GUARDA CHUVA POLIESTER GOMOS P,51792,VERDE,U,0.0,5.0,3.0,5.0
GUARDA CHUVA POLIESTER GOMOS P,51793,MARROM,U,1.0,5.0,2.0,5.0
GUARDA CHUVA POLIESTER GOMOS P,51795,MARINHO,U,0.0,6.0,3.0,5.0
GUARDA CHUVA POLIESTER GOMOS P,51796,ROXO,U,0.0,5.0,2.0,6.0
MOCHILA COURO 61064 I25,52319,VERDE,U,1.0,0.0,4.0,0.0
MOCHILA KING RUBBER 61047 V26,54021,MARROM,U,0.0,3.0,0.0,0.0
