Produto,Cod. Produto,Ds. Cor,Ds. Tam,226 - UK - RECIFE - 226,238 - UK - RECIFE 2 - 238,240 - UK - RECIFE 3 - 240,242 - UK - RECIFE 4 - 242
ALCA CADARCO/COURO 70490 I25,51780,MARROM,U,1.0,0.0,0.0,1.0
ALCA CADARCO/COURO 70490 I25,51781,PRETO,U,0.0,0.0,0.0,0.0
ALCA CADARCO/COURO 70591 V26,52886,PRETO,U,0.0,0.0,2.0,0.0
ALCA CADARCO/COURO 70591 V26,52887,BEGE,U,2.0,0.0,2.0,1.0
ALCA CORDA 70603 V26,52892,LARANJA,U,1.0,0.0,0.0,0.0
ALCA CORDA 70603 V26,52893,PRETO,U,0.0,0.0,0.0,1.0
ALCA CORDA/RESINA 70572 V25,50280,CARAM/PRETO,U,0.0,0.0,0.0,0.0
ALCA CORDA/RESINA 70572 V25,50281,PRETO/BRANCO,U,0.0,0.0,0.0,0.0
ALCA COURO 70573 V25,50278,CARAMELO,U,0.0,0.0,0.0,1.0
ALCA COURO 70573 V25,50279,PRETO,U,0.0,2.0,0.0,0.0
ANABELA COURO PIC NIC V26,53204,LARANJA/MARROM,34,0.0,0.0,1.0,0.0
ANABELA COURO PIC NIC V26,53205,LARANJA/MARROM,35,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53206,LARANJA/MARROM,36,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53207,LARANJA/MARROM,37,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53208,LARANJA/MARROM,38,1.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53209,LARANJA/MARROM,39,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53211,OFF/CARAMELO,34,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53212,OFF/CARAMELO,35,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53213,OFF/CARAMELO,36,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53214,OFF/CARAMELO,37,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53215,OFF/CARAMELO,38,0.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53216,OFF/CARAMELO,39,1.0,0.0,0.0,0.0
ANABELA COURO PIC NIC V26,53217,OFF/CARAMELO,40,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51060,CARAM/LARAN,34,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51061,CARAM/LARAN,35,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51062,CARAM/LARAN,36,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51063,CARAM/LARAN,37,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51064,CARAM/LARAN,38,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51065,CARAM/LARAN,39,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51067,PRETO/OFF,34,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51068,PRETO/OFF,35,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51069,PRETO/OFF,36,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51070,PRETO/OFF,37,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51071,PRETO/OFF,38,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG ALIKA V25,51072,PRETO/OFF,39,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG COSTA I25,52482,CINZA,33,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG COSTA I25,52483,CINZA,34,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG COSTA I25,52484,CINZA,35,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG COSTA I25,52485,CINZA,36,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG COSTA I25,52486,CINZA,37,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG COSTA I25,52487,CINZA,38,0.0,0.0,0.0,0.0
ANABELA NOBUCK VEG COSTA I25,52488,CINZA,39,0.0,0.0,0.0,0.0
